№    |Header |Address |Data    |WR/RD
0    |f0     |c000047e|ccf1c291|RD   
1    |f0     |c2000ae0|f5ad021f|RD   
2    |f0     |c2000286|263fe6ea|RD   
3    |f0     |c0000d03|b5c5af97|RD   
4    |f0     |c20001cc|bf8ffd87|RD   
5    |f0     |c00000e4|4feca30f|RD   
6    |f0     |c2000eb1|faf6e4d9|WR   
7    |f0     |c2000c68|c081524b|RD   
8    |f0     |c000008a|1f987b1c|WR   
9    |f0     |c2000b88|94b88082|RD   
10   |f0     |c2000840|6d64fac6|WR   
11   |f0     |c200006f|79f993a3|WR   
12   |f0     |c2000475|bb30377b|RD   
13   |f0     |c0000895|2d72d7af|WR   
14   |f0     |c200037e|7a77075c|RD   
15   |f0     |c0000f0b|2bfe0aba|WR   
16   |f0     |c20007a7|a2fc27d9|RD   
17   |f0     |c0000073|726e8863|RD   
18   |f0     |c0000254|d60e3c63|WR   
19   |f0     |c0000678|e639b574|WR   
20   |f0     |c00005f4|5548f297|WR   
21   |f0     |c0000b38|61e514c3|WR   
22   |f0     |c0000169|70b93475|RD   
23   |f0     |c2000d58|55d2df3a|WR   
24   |f0     |c00004a8|c7abe074|WR   
25   |f0     |c2000167|8f169dcf|RD   
26   |f0     |c0000f05|15c620fe|RD   
27   |f0     |c00004f3|ce26fc4d|WR   
28   |f0     |c2000aa2|27eb85dc|WR   
29   |f0     |c200009c|f435fae6|WR   
30   |f0     |c20005c2|72eccb9b|WR   
31   |f0     |c2000702|9d167596|RD   
